x[0] 		x[1] 		x[2] 		 Norma
0.092507 	0.116878 	0.010421 	0.004098
0.092503 	0.116877 	0.010430 	0.000953
0.092496 	0.116873 	0.010434 	0.001424
0.092485 	0.116863 	0.010425 	0.002120
0.092480 	0.116861 	0.010430 	0.001207
0.092391 	0.116787 	0.010397 	0.005861
0.092385 	0.116787 	0.010410 	0.000968
0.092380 	0.116784 	0.010415 	0.001243
0.092336 	0.116747 	0.010395 	0.004145
0.092332 	0.116745 	0.010403 	0.000949
0.092325 	0.116742 	0.010408 	0.001408
0.092314 	0.116731 	0.010398 	0.002161
0.092309 	0.116729 	0.010404 	0.001191
0.092195 	0.116635 	0.010365 	0.006608
0.092190 	0.116635 	0.010379 	0.000951
0.092185 	0.116632 	0.010384 	0.001162
0.091832 	0.116347 	0.010293 	0.011546
0.091824 	0.116347 	0.010318 	0.000947
0.091819 	0.116346 	0.010325 	0.000980
0.091808 	0.116338 	0.010330 	0.001911
0.091805 	0.116335 	0.010324 	0.001257
0.091766 	0.116306 	0.010331 	0.003712
0.091765 	0.116303 	0.010322 	0.000957
0.091759 	0.116297 	0.010314 	0.001645
0.091753 	0.116293 	0.010319 	0.001395
0.091742 	0.116283 	0.010310 	0.002144
0.091737 	0.116280 	0.010315 	0.001182
0.091629 	0.116188 	0.010279 	0.006473
0.091624 	0.116188 	0.010292 	0.000946
0.091619 	0.116185 	0.010297 	0.001164
0.091432 	0.116027 	0.010242 	0.008480
0.091426 	0.116027 	0.010258 	0.000902
0.091422 	0.116026 	0.010265 	0.001002
0.091402 	0.116012 	0.010271 	0.002576
0.091401 	0.116009 	0.010264 	0.001054
0.091333 	0.115949 	0.010236 	0.005198
0.091328 	0.115948 	0.010248 	0.000967
0.091322 	0.115944 	0.010253 	0.001312
0.091304 	0.115928 	0.010241 	0.002705
0.091300 	0.115926 	0.010247 	0.001039
0.091252 	0.115890 	0.010253 	0.004111
0.091252 	0.115887 	0.010244 	0.000936
0.091248 	0.115883 	0.010238 	0.001381
0.091234 	0.115873 	0.010243 	0.002146
0.091232 	0.115870 	0.010237 	0.001169
0.091079 	0.115751 	0.010239 	0.007433
0.091081 	0.115748 	0.010223 	0.000911
0.091079 	0.115745 	0.010216 	0.001027
0.091047 	0.115714 	0.010198 	0.003651
0.091043 	0.115713 	0.010206 	0.000946
0.091034 	0.115708 	0.010212 	0.001648
0.091030 	0.115703 	0.010205 	0.001362
0.091016 	0.115693 	0.010211 	0.002196
0.091014 	0.115690 	0.010204 	0.001152
0.090802 	0.115521 	0.010200 	0.008813
0.090803 	0.115518 	0.010183 	0.000895
0.090802 	0.115515 	0.010175 	0.000982
0.090792 	0.115505 	0.010166 	0.002099
0.090788 	0.115502 	0.010171 	0.001170
0.090696 	0.115421 	0.010139 	0.005997
0.090691 	0.115420 	0.010152 	0.000942
0.090686 	0.115417 	0.010157 	0.001196
0.090637 	0.115372 	0.010135 	0.004428
0.090633 	0.115371 	0.010144 	0.000916
0.090628 	0.115368 	0.010149 	0.001299
0.090611 	0.115351 	0.010137 	0.002665
0.090607 	0.115350 	0.010143 	0.001030
0.090558 	0.115312 	0.010149 	0.004163
0.090558 	0.115309 	0.010140 	0.000924
0.090554 	0.115305 	0.010134 	0.001348
0.090540 	0.115295 	0.010139 	0.002191
0.090538 	0.115291 	0.010133 	0.001142
0.090319 	0.115114 	0.010128 	0.008978
0.090321 	0.115110 	0.010111 	0.000887
0.090320 	0.115108 	0.010103 	0.000970
0.090311 	0.115098 	0.010095 	0.002011
0.090306 	0.115095 	0.010100 	0.001182
0.090253 	0.115047 	0.010078 	0.004602
0.090248 	0.115045 	0.010088 	0.000992
0.090237 	0.115038 	0.010093 	0.001856
0.090235 	0.115034 	0.010087 	0.001230
0.090199 	0.115007 	0.010094 	0.003560
0.090198 	0.115004 	0.010086 	0.000938
0.090192 	0.114998 	0.010079 	0.001637
0.090187 	0.114994 	0.010083 	0.001336
0.090176 	0.114983 	0.010074 	0.002189
0.090171 	0.114980 	0.010079 	0.001133
0.089967 	0.114799 	0.010022 	0.008925
0.089961 	0.114798 	0.010039 	0.000878
0.089957 	0.114797 	0.010045 	0.000967
0.089944 	0.114788 	0.010051 	0.002067
0.089942 	0.114784 	0.010045 	0.001157
0.089848 	0.114708 	0.010049 	0.005849
0.089849 	0.114705 	0.010036 	0.000935
0.089846 	0.114702 	0.010030 	0.001187
0.089797 	0.114663 	0.010036 	0.004192
0.089797 	0.114660 	0.010027 	0.000912
0.089794 	0.114656 	0.010022 	0.001320
0.089779 	0.114645 	0.010027 	0.002217
0.089777 	0.114642 	0.010021 	0.001118
0.089415 	0.114338 	0.010004 	0.011612
0.089418 	0.114334 	0.009978 	0.000917
0.089417 	0.114331 	0.009970 	0.000939
0.089411 	0.114324 	0.009963 	0.001752
0.089405 	0.114321 	0.009968 	0.001247
0.089387 	0.114302 	0.009956 	0.002809
0.089383 	0.114300 	0.009962 	0.000995
0.089355 	0.114278 	0.009968 	0.003140
0.089354 	0.114276 	0.009960 	0.000971
0.089340 	0.114261 	0.009949 	0.002471
0.089335 	0.114259 	0.009955 	0.001024
0.089254 	0.114192 	0.009961 	0.005453
0.089254 	0.114189 	0.009948 	0.000933
0.089251 	0.114185 	0.009942 	0.001221
0.089225 	0.114165 	0.009948 	0.003049
0.089224 	0.114162 	0.009941 	0.000975
0.089208 	0.114146 	0.009930 	0.002588
0.089204 	0.114144 	0.009936 	0.001011
0.089154 	0.114104 	0.009942 	0.004242
0.089154 	0.114101 	0.009933 	0.000901
0.089151 	0.114097 	0.009927 	0.001291
0.089133 	0.114084 	0.009933 	0.002480
0.089131 	0.114081 	0.009927 	0.001019
0.089064 	0.114017 	0.009900 	0.005207
0.089059 	0.114016 	0.009912 	0.000934
0.089054 	0.114013 	0.009916 	0.001260
0.089037 	0.113996 	0.009905 	0.002631
0.089033 	0.113994 	0.009911 	0.001004
0.088989 	0.113958 	0.009917 	0.004007
0.088988 	0.113956 	0.009909 	0.000905
0.088985 	0.113951 	0.009903 	0.001336
0.088972 	0.113942 	0.009908 	0.002045
0.088970 	0.113938 	0.009902 	0.001137
0.088878 	0.113862 	0.009907 	0.005793
0.088879 	0.113859 	0.009894 	0.000921
0.088876 	0.113856 	0.009888 	0.001173
0.088832 	0.113820 	0.009894 	0.003993
0.088831 	0.113817 	0.009886 	0.000903
0.088828 	0.113813 	0.009880 	0.001334
0.088816 	0.113804 	0.009885 	0.002033
0.088813 	0.113800 	0.009879 	0.001136
0.088725 	0.113727 	0.009884 	0.005667
0.088726 	0.113724 	0.009872 	0.000922
0.088723 	0.113721 	0.009866 	0.001184
0.088685 	0.113690 	0.009872 	0.003707
0.088684 	0.113687 	0.009864 	0.000909
0.088680 	0.113682 	0.009858 	0.001400
0.088670 	0.113675 	0.009863 	0.001835
0.088668 	0.113671 	0.009858 	0.001190
0.088631 	0.113642 	0.009864 	0.003581
0.088631 	0.113640 	0.009856 	0.000912
0.088627 	0.113635 	0.009850 	0.001432
0.088617 	0.113628 	0.009855 	0.001766
0.088614 	0.113624 	0.009850 	0.001214
0.088590 	0.113605 	0.009856 	0.002939
0.088589 	0.113602 	0.009849 	0.000972
0.088571 	0.113584 	0.009837 	0.002716
0.088567 	0.113582 	0.009843 	0.000988
0.088531 	0.113553 	0.009850 	0.003613
0.088530 	0.113550 	0.009842 	0.000910
0.088526 	0.113545 	0.009836 	0.001420
0.088516 	0.113538 	0.009841 	0.001782
0.088514 	0.113535 	0.009835 	0.001205
0.088488 	0.113514 	0.009841 	0.003017
0.088487 	0.113512 	0.009834 	0.000964
0.088471 	0.113495 	0.009823 	0.002575
0.088467 	0.113494 	0.009829 	0.000998
0.088419 	0.113455 	0.009835 	0.004148
0.088419 	0.113452 	0.009826 	0.000892
0.088416 	0.113448 	0.009820 	0.001288
0.088402 	0.113437 	0.009826 	0.002166
0.088400 	0.113434 	0.009820 	0.001096
0.088099 	0.113176 	0.009810 	0.010577
0.088102 	0.113172 	0.009786 	0.000907
0.088101 	0.113169 	0.009779 	0.000941
0.088092 	0.113159 	0.009770 	0.002010
0.088088 	0.113156 	0.009775 	0.001123
0.088014 	0.113085 	0.009747 	0.005450
0.088009 	0.113084 	0.009759 	0.000914
0.088004 	0.113082 	0.009764 	0.001204
0.087984 	0.113062 	0.009752 	0.002858
0.087980 	0.113060 	0.009758 	0.000966
0.087957 	0.113042 	0.009764 	0.002845
0.087956 	0.113039 	0.009757 	0.000967
0.087937 	0.113019 	0.009745 	0.002838
