x[0] 		x[1] 		x[2] 		Norma
1.000000 	1.000000 	1.000000
0.500000 	0.000548 	-0.523585 	0.000187
0.500000 	0.000547 	-0.523585 	0.000187
0.500000 	0.000545 	-0.523585 	0.000187
0.500000 	0.000544 	-0.523585 	0.000187
0.500000 	0.000543 	-0.523585 	0.000186
0.500000 	0.000541 	-0.523585 	0.000186
0.500000 	0.000540 	-0.523585 	0.000186
0.500000 	0.000539 	-0.523585 	0.000186
0.500000 	0.000537 	-0.523585 	0.000186
0.500000 	0.000536 	-0.523585 	0.000185
0.500000 	0.000534 	-0.523585 	0.000185
0.500000 	0.000533 	-0.523585 	0.000185
0.500000 	0.000532 	-0.523585 	0.000185
0.500000 	0.000530 	-0.523585 	0.000185
0.500000 	0.000529 	-0.523585 	0.000185
0.500000 	0.000528 	-0.523586 	0.000184
0.500000 	0.000526 	-0.523586 	0.000184
0.500000 	0.000525 	-0.523586 	0.000184
0.500000 	0.000524 	-0.523586 	0.000184
0.500000 	0.000522 	-0.523586 	0.000184
0.500000 	0.000521 	-0.523586 	0.000183
0.500000 	0.000520 	-0.523586 	0.000183
0.500000 	0.000518 	-0.523586 	0.000183
0.500000 	0.000517 	-0.523586 	0.000183
0.500000 	0.000516 	-0.523586 	0.000183
0.500000 	0.000514 	-0.523586 	0.000183
0.500000 	0.000513 	-0.523586 	0.000182
0.500000 	0.000512 	-0.523586 	0.000182
0.500000 	0.000510 	-0.523586 	0.000182
0.500000 	0.000509 	-0.523586 	0.000182
0.500000 	0.000508 	-0.523586 	0.000182
0.500000 	0.000507 	-0.523586 	0.000182
0.500000 	0.000505 	-0.523586 	0.000181
0.500000 	0.000504 	-0.523586 	0.000181
0.500000 	0.000503 	-0.523586 	0.000181
0.500000 	0.000501 	-0.523586 	0.000181
0.500000 	0.000500 	-0.523586 	0.000181
0.500000 	0.000499 	-0.523586 	0.000180
0.500000 	0.000498 	-0.523586 	0.000180
0.500000 	0.000496 	-0.523586 	0.000180
0.500000 	0.000495 	-0.523586 	0.000180
0.500000 	0.000494 	-0.523586 	0.000180
0.500000 	0.000492 	-0.523586 	0.000180
0.500000 	0.000491 	-0.523586 	0.000179
0.500000 	0.000490 	-0.523586 	0.000179
0.500000 	0.000489 	-0.523586 	0.000179
0.500000 	0.000487 	-0.523587 	0.000179
0.500000 	0.000486 	-0.523587 	0.000179
0.500000 	0.000485 	-0.523587 	0.000178
0.500000 	0.000484 	-0.523587 	0.000178
0.500000 	0.000482 	-0.523587 	0.000178
0.500000 	0.000481 	-0.523587 	0.000178
0.500000 	0.000480 	-0.523587 	0.000178
0.500000 	0.000479 	-0.523587 	0.000178
0.500000 	0.000477 	-0.523587 	0.000177
0.500000 	0.000476 	-0.523587 	0.000177
0.500000 	0.000475 	-0.523587 	0.000177
0.500000 	0.000474 	-0.523587 	0.000177
0.500000 	0.000472 	-0.523587 	0.000177
0.500000 	0.000471 	-0.523587 	0.000176
0.500000 	0.000470 	-0.523587 	0.000176
0.500000 	0.000469 	-0.523587 	0.000176
0.500000 	0.000468 	-0.523587 	0.000176
0.500000 	0.000466 	-0.523587 	0.000176
0.500000 	0.000465 	-0.523587 	0.000176
0.500000 	0.000464 	-0.523587 	0.000175
0.500000 	0.000463 	-0.523587 	0.000175
0.500000 	0.000461 	-0.523587 	0.000175
0.500000 	0.000460 	-0.523587 	0.000175
0.500000 	0.000459 	-0.523587 	0.000175
0.500000 	0.000458 	-0.523587 	0.000174
0.500000 	0.000457 	-0.523587 	0.000174
0.500000 	0.000455 	-0.523587 	0.000174
0.500000 	0.000454 	-0.523587 	0.000174
0.500000 	0.000453 	-0.523587 	0.000174
0.500000 	0.000452 	-0.523587 	0.000174
0.500000 	0.000451 	-0.523587 	0.000173
0.500000 	0.000450 	-0.523587 	0.000173
0.500000 	0.000448 	-0.523588 	0.000173
0.500000 	0.000447 	-0.523588 	0.000173
0.500000 	0.000446 	-0.523588 	0.000173
0.500000 	0.000445 	-0.523588 	0.000172
0.500000 	0.000444 	-0.523588 	0.000172
0.500000 	0.000443 	-0.523588 	0.000172
0.500000 	0.000441 	-0.523588 	0.000172
0.500000 	0.000440 	-0.523588 	0.000172
0.500000 	0.000439 	-0.523588 	0.000172
0.500000 	0.000438 	-0.523588 	0.000171
0.500000 	0.000437 	-0.523588 	0.000171
0.500000 	0.000436 	-0.523588 	0.000171
0.500000 	0.000434 	-0.523588 	0.000171
0.500000 	0.000433 	-0.523588 	0.000171
0.500000 	0.000432 	-0.523588 	0.000170
0.500000 	0.000431 	-0.523588 	0.000170
0.500000 	0.000430 	-0.523588 	0.000170
0.500000 	0.000429 	-0.523588 	0.000170
0.500000 	0.000428 	-0.523588 	0.000170
0.500000 	0.000427 	-0.523588 	0.000170
0.500000 	0.000425 	-0.523588 	0.000169
0.500000 	0.000424 	-0.523588 	0.000169
0.500000 	0.000423 	-0.523588 	0.000169
0.500000 	0.000422 	-0.523588 	0.000169
0.500000 	0.000421 	-0.523588 	0.000169
0.500000 	0.000420 	-0.523588 	0.000168
0.500000 	0.000419 	-0.523588 	0.000168
0.500000 	0.000418 	-0.523588 	0.000168
0.500000 	0.000416 	-0.523588 	0.000168
0.500000 	0.000415 	-0.523588 	0.000168
0.500000 	0.000414 	-0.523588 	0.000168
0.500000 	0.000413 	-0.523588 	0.000167
